,age,job,marital,education,default,balance,housing,loan,contact,day_of_week,month,duration,campaign,pdays,previous,poutcome,subscribed
528,48,management,divorced,,no,549,yes,no,,6,may,427,1,-1,0,,no
25611,49,management,married,secondary,no,1623,yes,no,cellular,19,nov,1081,2,-1,0,,yes
19002,49,technician,married,secondary,no,633,no,no,cellular,5,aug,201,2,-1,0,,no
36226,39,services,single,secondary,no,322,yes,no,cellular,11,may,35,1,350,1,failure,no
16833,48,services,married,secondary,no,2409,yes,no,cellular,24,jul,533,2,-1,0,,no
44981,52,technician,married,secondary,no,553,yes,no,telephone,11,oct,160,1,-1,0,,no
25560,36,management,married,tertiary,yes,-485,yes,no,cellular,19,nov,278,1,-1,0,,no
40049,50,management,divorced,tertiary,no,810,no,no,cellular,4,jun,510,3,-1,0,,yes
12108,43,management,single,secondary,no,2968,no,no,,20,jun,30,4,-1,0,,no
32473,41,admin.,single,secondary,no,5219,yes,no,cellular,17,apr,46,4,-1,0,,no
6978,32,technician,single,tertiary,no,92,yes,no,,28,may,116,1,-1,0,,no
43527,76,retired,married,secondary,no,820,no,no,telephone,23,apr,263,4,-1,0,,yes
9671,36,self-employed,married,secondary,no,1245,yes,no,,6,jun,1469,9,-1,0,,yes
17114,28,admin.,single,secondary,no,230,no,no,cellular,25,jul,118,3,-1,0,,no
31740,39,technician,divorced,secondary,no,17441,yes,yes,cellular,7,apr,1,1,-1,0,,no
44806,74,retired,divorced,primary,no,2308,no,no,telephone,16,sep,251,2,535,2,success,no
29715,45,technician,married,secondary,no,366,no,yes,cellular,3,feb,235,2,169,12,failure,no
36505,34,blue-collar,married,secondary,no,0,yes,yes,cellular,12,may,34,2,288,12,failure,no
25606,33,management,married,tertiary,no,2441,yes,yes,cellular,19,nov,154,1,-1,0,,no
5357,50,technician,married,tertiary,no,247,no,no,,23,may,173,1,-1,0,,no
26317,43,blue-collar,single,primary,no,13620,yes,no,cellular,20,nov,128,1,-1,0,,no
40706,37,admin.,married,secondary,no,96,no,no,cellular,7,aug,155,1,99,2,success,yes
16085,50,housemaid,married,secondary,no,0,yes,no,cellular,22,jul,160,1,-1,0,,no
27344,30,technician,single,tertiary,no,1028,yes,no,cellular,21,nov,653,1,-1,0,,no
18880,37,management,married,tertiary,no,355,no,no,cellular,4,aug,340,1,-1,0,,no
21762,34,technician,single,tertiary,no,2671,no,no,cellular,19,aug,119,9,-1,0,,no
43737,38,management,married,tertiary,no,1276,no,no,cellular,17,may,272,2,182,3,success,yes
1521,38,unemployed,married,primary,no,1147,yes,yes,,8,may,249,5,-1,0,,no
37264,37,management,single,tertiary,no,1339,yes,no,cellular,13,may,96,6,173,4,other,no
22910,34,management,married,secondary,no,333,no,no,cellular,26,aug,90,4,-1,0,,no
14166,55,technician,divorced,tertiary,no,2848,yes,yes,cellular,11,jul,121,2,-1,0,,no
9594,53,management,married,tertiary,no,7067,no,no,,6,jun,82,3,-1,0,,no
36648,37,admin.,divorced,secondary,no,1573,yes,no,cellular,12,may,639,3,326,10,failure,no
24095,30,admin.,married,secondary,no,1310,no,no,telephone,27,oct,3284,1,-1,0,,no
15273,54,blue-collar,single,secondary,no,40,yes,no,cellular,18,jul,172,2,-1,0,,no
37592,26,blue-collar,single,primary,no,619,yes,yes,cellular,14,may,720,1,352,1,failure,no
75,53,technician,married,secondary,no,384,yes,no,,5,may,176,1,-1,0,,no
19983,32,technician,single,tertiary,no,881,no,no,cellular,8,aug,79,1,-1,0,,no
26303,34,admin.,single,secondary,no,3626,yes,yes,cellular,20,nov,88,2,-1,0,,no
13970,51,self-employed,married,tertiary,no,126,yes,no,cellular,10,jul,412,1,-1,0,,no
18022,56,self-employed,married,secondary,no,784,no,yes,cellular,30,jul,149,2,-1,0,,no
6019,39,entrepreneur,married,tertiary,no,36,yes,no,,26,may,488,3,-1,0,,no
7838,44,technician,divorced,secondary,no,752,yes,no,,30,may,363,3,-1,0,,no
8741,41,admin.,single,secondary,no,-22,yes,no,,4,jun,166,2,-1,0,,no
667,40,technician,single,secondary,no,200,yes,no,,6,may,322,2,-1,0,,no
30777,30,unemployed,single,secondary,no,2303,no,no,telephone,6,feb,193,5,-1,0,,no
29665,59,admin.,married,secondary,no,1089,no,no,telephone,3,feb,264,2,-1,0,,no
24423,48,technician,married,secondary,yes,295,no,yes,cellular,17,nov,190,2,-1,0,,no
14782,52,management,divorced,primary,no,92,no,yes,cellular,16,jul,469,7,-1,0,,no
40245,50,management,married,tertiary,no,1612,no,no,cellular,15,jun,532,2,98,2,other,yes
2933,41,services,married,primary,no,299,yes,no,,14,may,72,1,-1,0,,no
32890,28,management,married,tertiary,no,258,no,yes,cellular,17,apr,93,1,-1,0,,no
31759,49,management,married,tertiary,no,519,yes,no,cellular,8,apr,98,1,-1,0,,no
8064,31,blue-collar,married,secondary,no,-45,yes,no,,2,jun,184,1,-1,0,,no
40670,40,management,married,tertiary,no,0,no,no,cellular,6,aug,131,2,98,6,success,yes
5329,32,blue-collar,married,primary,no,225,yes,no,,23,may,23,1,-1,0,,no
7246,48,blue-collar,married,,no,100,yes,no,,29,may,206,1,-1,0,,no
8571,44,services,married,secondary,no,-1621,yes,yes,,3,jun,171,5,-1,0,,no
26768,57,admin.,divorced,,no,4012,no,no,cellular,20,nov,915,1,-1,0,,no
2365,32,unemployed,married,secondary,yes,2,yes,no,,13,may,178,2,-1,0,,no
19639,37,blue-collar,married,tertiary,no,359,no,yes,cellular,7,aug,3422,2,-1,0,,no
15702,50,unemployed,married,secondary,no,49,yes,no,cellular,21,jul,237,1,-1,0,,no
10107,54,management,married,tertiary,no,16843,no,no,,11,jun,116,1,-1,0,,no
1165,32,management,single,tertiary,no,111,yes,no,,8,may,162,2,-1,0,,no
23107,51,services,married,primary,no,10150,yes,no,cellular,26,aug,157,5,-1,0,,no
14338,32,technician,single,tertiary,no,47,yes,no,cellular,14,jul,213,3,-1,0,,no
6916,28,technician,single,secondary,no,1417,yes,no,,28,may,491,1,-1,0,,no
12637,36,management,single,tertiary,no,678,no,yes,,4,jul,85,3,-1,0,,no
38232,35,unemployed,married,tertiary,no,1849,yes,no,cellular,15,may,111,1,-1,0,,no
45007,29,admin.,married,tertiary,no,167,yes,yes,cellular,13,oct,357,2,237,2,failure,no
33872,52,unemployed,married,secondary,no,94,no,no,cellular,30,apr,244,1,-1,0,,yes
14475,37,services,married,secondary,no,0,yes,no,cellular,14,jul,330,4,-1,0,,no
24705,55,housemaid,single,secondary,no,1606,no,no,telephone,17,nov,762,1,-1,0,,no
7464,34,blue-collar,married,primary,no,1031,yes,no,,29,may,751,3,-1,0,,yes
17294,36,blue-collar,married,primary,no,656,yes,no,cellular,28,jul,71,4,-1,0,,no
11655,56,management,divorced,tertiary,yes,-1968,no,no,,20,jun,60,3,-1,0,,no
3411,41,blue-collar,married,secondary,no,680,yes,no,,15,may,173,2,-1,0,,no
6869,32,admin.,single,secondary,no,562,yes,no,,28,may,116,6,-1,0,,no
2291,57,blue-collar,married,primary,yes,0,yes,no,,12,may,73,3,-1,0,,no
45014,36,blue-collar,single,tertiary,no,1830,no,no,cellular,14,oct,183,1,91,11,failure,no
3717,25,admin.,married,secondary,no,16,yes,no,,16,may,129,1,-1,0,,no
15541,36,entrepreneur,married,tertiary,no,99,yes,no,cellular,21,jul,165,2,-1,0,,no
10872,51,blue-collar,married,primary,no,1869,no,no,,17,jun,30,3,-1,0,,no
16250,49,entrepreneur,married,secondary,no,273,no,no,cellular,23,jul,58,1,-1,0,,no
5443,32,admin.,single,secondary,no,127,yes,no,,23,may,189,2,-1,0,,no
22055,35,management,married,tertiary,no,47,no,yes,cellular,20,aug,44,9,-1,0,,no
43640,46,blue-collar,married,secondary,no,640,yes,no,cellular,6,may,246,1,55,5,success,yes
29733,29,blue-collar,single,secondary,no,336,yes,no,cellular,4,feb,197,1,-1,0,,no
21095,37,management,divorced,tertiary,no,896,no,yes,cellular,14,aug,343,2,-1,0,,no
17014,57,management,married,secondary,no,262,no,no,cellular,25,jul,276,1,-1,0,,no
21224,47,management,married,tertiary,no,682,no,no,cellular,18,aug,638,6,-1,0,,yes
33726,30,student,single,primary,no,1527,no,no,telephone,22,apr,94,7,-1,0,,no
26487,34,management,divorced,tertiary,no,13204,yes,yes,cellular,20,nov,197,2,-1,0,,no
9376,31,technician,single,,no,694,yes,no,,6,jun,431,2,-1,0,,no
42668,36,admin.,married,,no,991,no,no,cellular,14,jan,589,2,-1,0,,yes
1592,29,blue-collar,single,secondary,no,-138,yes,yes,,8,may,271,5,-1,0,,no
24032,31,housemaid,single,secondary,no,13099,no,no,cellular,29,aug,6,9,-1,0,,no
4087,46,services,divorced,secondary,no,778,yes,no,,19,may,579,1,-1,0,,no
12062,53,housemaid,married,primary,no,3166,no,no,,20,jun,14,12,-1,0,,no
21779,34,management,married,tertiary,no,396,no,yes,cellular,19,aug,166,3,-1,0,,no
4712,32,blue-collar,married,primary,no,7406,yes,no,,20,may,418,2,-1,0,,no
39568,45,unemployed,married,secondary,no,1040,no,no,telephone,26,may,137,5,-1,0,,no
37721,25,student,single,secondary,no,963,yes,no,telephone,14,may,230,4,301,1,failure,no
9736,47,retired,married,secondary,no,2383,no,no,,9,jun,529,1,-1,0,,no
22706,42,management,single,tertiary,no,0,no,no,cellular,25,aug,129,4,-1,0,,no
41439,73,retired,married,,no,3443,no,no,telephone,4,sep,770,3,-1,0,,yes
483,43,blue-collar,married,secondary,no,0,no,no,,6,may,187,1,-1,0,,no
6680,29,admin.,single,secondary,no,1450,yes,no,,28,may,195,1,-1,0,,no
43158,71,retired,divorced,secondary,no,0,no,no,cellular,26,feb,771,1,171,1,success,yes
12491,37,technician,single,tertiary,no,0,no,no,,1,jul,1135,2,-1,0,,yes
21993,30,technician,divorced,secondary,no,2403,no,no,cellular,20,aug,132,2,-1,0,,no
42666,49,technician,married,primary,no,1569,no,no,cellular,14,jan,470,1,196,1,other,no
12554,38,services,married,secondary,no,304,no,yes,,3,jul,131,1,-1,0,,no
4914,35,entrepreneur,married,tertiary,no,280,yes,no,,21,may,502,1,-1,0,,no
11326,49,blue-collar,married,,no,507,no,yes,,18,jun,16,14,-1,0,,no
28826,26,unemployed,single,tertiary,no,370,no,no,cellular,30,jan,230,1,-1,0,,no
31979,37,entrepreneur,single,tertiary,no,-961,no,no,cellular,13,apr,294,1,-1,0,,no
34147,33,blue-collar,single,tertiary,no,700,no,no,cellular,30,apr,169,1,80,2,success,yes
15741,31,entrepreneur,single,secondary,no,131,yes,no,cellular,21,jul,157,1,-1,0,,no
10235,38,services,divorced,primary,no,188,no,no,,11,jun,597,10,-1,0,,no
34249,48,blue-collar,married,secondary,no,863,yes,no,telephone,4,may,412,5,350,2,success,yes
40705,33,unemployed,married,secondary,no,1211,no,no,cellular,7,aug,456,1,-1,0,,yes
9806,38,management,single,secondary,no,53,no,no,,9,jun,280,1,-1,0,,no
7481,44,blue-collar,single,primary,no,1593,yes,no,,29,may,828,3,-1,0,,yes
38415,51,management,divorced,tertiary,no,-227,yes,no,cellular,15,may,404,1,-1,0,,no
28768,27,management,single,tertiary,no,1081,no,yes,cellular,30,jan,158,3,206,2,other,no
5487,36,admin.,married,secondary,no,614,yes,no,,23,may,13,5,-1,0,,no
10126,36,self-employed,married,tertiary,no,2517,no,no,,11,jun,117,2,-1,0,,no
3453,42,admin.,married,secondary,no,281,yes,no,,15,may,118,1,-1,0,,no
33921,44,blue-collar,married,,no,1529,yes,no,cellular,30,apr,347,1,-1,0,,yes
33764,37,technician,married,secondary,no,0,yes,no,cellular,22,apr,1288,3,-1,0,,yes
12700,56,housemaid,married,primary,no,58,no,yes,cellular,7,jul,227,6,-1,0,,no
31033,39,management,married,secondary,no,363,yes,yes,cellular,11,feb,67,1,209,1,failure,no
25065,34,blue-collar,married,secondary,no,233,yes,no,cellular,18,nov,98,1,-1,0,,no
16029,45,admin.,married,secondary,no,0,no,no,cellular,22,jul,73,2,-1,0,,no
18423,49,admin.,married,secondary,no,1629,no,no,cellular,31,jul,57,2,-1,0,,no
29232,58,retired,married,secondary,no,1227,no,no,cellular,2,feb,277,1,-1,0,,no
495,39,admin.,single,secondary,no,0,yes,no,,6,may,174,2,-1,0,,no
39156,40,admin.,divorced,secondary,no,220,yes,no,cellular,18,may,197,2,-1,0,,no
26273,41,technician,married,secondary,no,4711,yes,no,cellular,20,nov,401,2,-1,0,,no
18828,36,management,married,tertiary,no,3007,yes,no,cellular,4,aug,160,1,-1,0,,no
19284,48,management,divorced,tertiary,no,249,no,no,cellular,6,aug,293,6,-1,0,,no
38264,57,admin.,married,secondary,no,-967,yes,no,telephone,15,may,8,7,-1,0,,no
15743,33,services,married,secondary,no,70,yes,no,cellular,21,jul,333,3,-1,0,,no
31498,56,management,married,tertiary,no,480,yes,no,telephone,2,apr,173,2,-1,0,,no
10136,57,services,divorced,primary,no,362,no,no,,11,jun,187,1,-1,0,,no
3638,60,retired,married,primary,no,894,yes,no,,15,may,65,7,-1,0,,no
32604,34,admin.,single,secondary,no,598,yes,no,cellular,17,apr,365,1,324,1,failure,no
34471,32,admin.,single,secondary,no,12,yes,no,cellular,5,may,242,1,365,2,failure,no
16385,52,management,married,secondary,no,638,yes,no,cellular,23,jul,213,1,-1,0,,no
20107,38,management,married,tertiary,no,1440,no,no,cellular,11,aug,111,2,-1,0,,no
41511,60,retired,married,secondary,no,0,no,no,cellular,9,sep,408,1,-1,0,,yes
2940,41,services,married,secondary,no,890,yes,no,,14,may,829,1,-1,0,,no
43620,80,retired,married,primary,no,155,no,no,telephone,4,may,209,1,53,3,success,yes
21311,48,management,divorced,secondary,no,3324,no,no,cellular,18,aug,203,4,-1,0,,no
44337,25,services,single,,no,2022,no,no,cellular,29,jul,276,8,97,12,other,yes
27891,53,housemaid,married,tertiary,no,554,no,no,cellular,28,jan,48,1,181,5,failure,no
34197,33,management,single,tertiary,no,5437,no,no,cellular,4,may,267,1,91,1,failure,yes
3591,59,retired,divorced,secondary,no,337,yes,no,,15,may,118,4,-1,0,,no
39550,26,student,single,secondary,no,8015,no,no,cellular,26,may,109,1,-1,0,,no
1509,32,blue-collar,married,secondary,no,491,yes,no,,8,may,223,2,-1,0,,no
2321,35,management,divorced,tertiary,no,36,yes,no,,13,may,182,6,-1,0,,no
28909,46,management,married,tertiary,no,699,no,no,cellular,2,feb,241,1,-1,0,,no
24473,36,blue-collar,married,secondary,no,1797,yes,yes,cellular,17,nov,166,1,181,2,failure,no
8447,53,blue-collar,married,primary,no,358,yes,no,,3,jun,384,1,-1,0,,no
25859,41,services,married,secondary,no,115,yes,yes,cellular,19,nov,299,2,-1,0,,no
4334,42,blue-collar,married,primary,no,170,yes,no,,19,may,51,41,-1,0,,no
32199,32,blue-collar,married,secondary,yes,-53,yes,no,cellular,16,apr,648,1,272,1,other,yes
32318,35,management,single,tertiary,no,824,yes,no,cellular,16,apr,693,2,-1,0,,no
21968,46,blue-collar,married,primary,no,620,yes,no,cellular,20,aug,174,2,-1,0,,no
3308,54,technician,married,tertiary,no,4582,yes,no,,15,may,165,1,-1,0,,no
32023,34,management,married,tertiary,no,703,yes,no,cellular,14,apr,342,1,-1,0,,yes
39314,47,admin.,married,secondary,no,-121,yes,yes,cellular,18,may,167,4,314,4,failure,no
4663,40,management,married,tertiary,no,917,yes,no,,20,may,292,1,-1,0,,no
6369,53,blue-collar,single,,no,1555,yes,no,,27,may,383,2,-1,0,,no
5865,39,management,married,tertiary,no,-1026,yes,no,,26,may,200,2,-1,0,,no
22675,36,management,married,tertiary,no,1235,no,no,cellular,25,aug,85,6,-1,0,,no
7412,55,retired,married,secondary,no,2749,yes,yes,,29,may,58,2,-1,0,,no
12100,26,student,single,secondary,no,715,yes,no,,20,jun,31,10,-1,0,,no
7680,35,blue-collar,married,primary,no,2205,yes,no,,30,may,199,3,-1,0,,no
12903,33,blue-collar,single,primary,yes,-15,no,yes,cellular,7,jul,326,2,-1,0,,no
26569,39,management,married,tertiary,no,2450,no,no,cellular,20,nov,382,2,-1,0,,no
21072,52,blue-collar,married,primary,no,1949,no,no,cellular,14,aug,108,2,-1,0,,no
27876,50,blue-collar,single,tertiary,no,218,no,no,cellular,28,jan,268,1,-1,0,,no
1758,33,technician,divorced,secondary,yes,-305,no,yes,,9,may,109,1,-1,0,,no
35696,41,blue-collar,divorced,secondary,no,-274,yes,no,cellular,8,may,279,1,-1,0,,no
1291,33,admin.,single,secondary,no,303,no,no,,8,may,149,1,-1,0,,no
38969,39,blue-collar,married,secondary,no,4430,yes,no,cellular,18,may,13,4,362,1,other,no
3582,44,blue-collar,married,primary,no,140,yes,no,,15,may,7,9,-1,0,,no
19001,59,admin.,married,secondary,no,2552,no,yes,cellular,5,aug,125,3,-1,0,,no
44692,43,admin.,single,secondary,no,1707,yes,no,cellular,6,sep,369,3,504,5,other,yes
42561,47,technician,married,secondary,no,3519,no,yes,cellular,28,dec,193,1,220,1,failure,no
32648,33,blue-collar,single,secondary,no,3975,yes,yes,cellular,17,apr,515,1,150,1,other,no
36633,31,admin.,single,secondary,no,1801,yes,no,cellular,12,may,306,1,-1,0,,no
14068,39,management,married,tertiary,no,710,yes,no,cellular,11,jul,211,2,-1,0,,no
21841,58,blue-collar,married,secondary,no,1626,no,no,cellular,20,aug,391,4,-1,0,,no
13315,59,management,married,tertiary,no,1726,no,yes,cellular,8,jul,137,3,-1,0,,no
10153,52,housemaid,married,primary,no,3283,no,no,,11,jun,553,1,-1,0,,no
17013,47,housemaid,married,secondary,no,4397,yes,no,cellular,25,jul,110,1,-1,0,,no
30690,56,blue-collar,divorced,secondary,no,2780,yes,no,telephone,6,feb,81,3,-1,0,,no
31599,40,entrepreneur,married,tertiary,no,2644,yes,no,cellular,3,apr,235,1,133,3,failure,no
37818,46,blue-collar,married,secondary,no,312,yes,no,cellular,14,may,20,2,-1,0,,no
26801,54,management,married,primary,no,3859,no,yes,cellular,20,nov,104,3,-1,0,,no
27236,44,management,divorced,tertiary,no,2058,no,yes,cellular,21,nov,661,1,-1,0,,no
8166,25,services,single,secondary,no,229,yes,no,,2,jun,214,2,-1,0,,no
29159,46,admin.,married,primary,no,469,yes,no,cellular,2,feb,75,1,264,10,other,no
6206,28,management,single,tertiary,no,0,yes,no,,27,may,290,1,-1,0,,no
32577,33,services,married,secondary,no,288,yes,no,cellular,17,apr,306,1,-1,0,,no
3997,26,blue-collar,single,primary,no,-579,yes,no,,16,may,320,3,-1,0,,no
7990,31,technician,single,tertiary,no,3729,yes,no,,2,jun,192,8,-1,0,,no
24206,49,retired,married,secondary,no,8648,no,no,cellular,17,nov,527,1,-1,0,,no
7124,31,blue-collar,married,secondary,no,283,yes,yes,,29,may,37,3,-1,0,,no
35420,59,management,divorced,tertiary,yes,-23,yes,no,telephone,7,may,287,2,-1,0,,no
1808,26,management,single,tertiary,no,1326,yes,no,,9,may,70,1,-1,0,,no
40849,64,management,married,secondary,no,1646,no,no,cellular,12,aug,68,3,-1,0,,no
36236,36,entrepreneur,married,secondary,no,0,yes,no,cellular,11,may,187,1,174,1,failure,no
36046,50,blue-collar,married,secondary,no,2419,yes,no,cellular,11,may,309,1,342,3,other,no
10016,39,services,married,secondary,no,1367,yes,no,,9,jun,53,4,-1,0,,no
2289,53,blue-collar,single,,no,0,no,no,,12,may,140,7,-1,0,,no
20881,47,housemaid,married,primary,no,183,no,no,cellular,13,aug,144,1,-1,0,,no
11818,41,management,married,secondary,yes,-771,no,yes,,20,jun,343,2,-1,0,,no
19643,44,technician,married,secondary,no,1371,no,no,cellular,7,aug,159,3,-1,0,,no
36501,50,self-employed,married,secondary,no,0,yes,no,telephone,12,may,352,2,175,11,other,no
29610,69,retired,married,primary,no,2713,no,no,telephone,3,feb,32,1,-1,0,,no
6370,26,blue-collar,married,secondary,no,284,yes,no,,27,may,301,1,-1,0,,no
4350,38,management,single,tertiary,no,91,yes,no,,19,may,492,9,-1,0,,no
40897,32,services,married,secondary,no,386,no,no,cellular,12,aug,305,3,104,1,failure,no
31824,44,admin.,married,secondary,no,1807,yes,yes,cellular,8,apr,229,1,313,1,failure,no
39931,37,entrepreneur,married,tertiary,no,189,no,no,cellular,2,jun,253,2,-1,0,,yes
31158,43,unemployed,single,tertiary,no,983,yes,no,cellular,26,feb,97,1,-1,0,,yes
12392,31,blue-collar,married,primary,no,-423,yes,yes,,27,jun,135,2,-1,0,,no
299,57,technician,married,secondary,no,792,yes,no,,5,may,65,2,-1,0,,no
41971,42,management,married,tertiary,no,2463,no,no,cellular,26,oct,183,2,-1,0,,no
30213,38,management,single,tertiary,no,1819,no,no,cellular,5,feb,101,3,-1,0,,no
16262,38,management,married,tertiary,no,1952,no,yes,cellular,23,jul,237,1,-1,0,,no
701,46,blue-collar,married,,no,401,yes,no,,6,may,306,2,-1,0,,no
33025,56,blue-collar,married,secondary,no,1686,no,no,telephone,17,apr,100,2,-1,0,,no
33187,41,blue-collar,married,primary,no,951,yes,no,cellular,20,apr,23,4,-1,0,,no
3284,47,services,married,secondary,no,3216,yes,no,,15,may,451,2,-1,0,,no
39439,43,admin.,single,secondary,no,733,yes,no,cellular,25,may,282,1,187,3,success,yes
42078,49,management,divorced,tertiary,no,348,no,no,cellular,30,oct,125,1,-1,0,,yes
10754,36,management,married,tertiary,no,0,no,no,,17,jun,222,3,-1,0,,no
39565,25,management,single,tertiary,no,1317,no,no,cellular,26,may,176,1,-1,0,,yes
33803,72,retired,married,primary,no,763,no,no,cellular,24,apr,384,2,-1,0,,yes
26034,39,admin.,married,secondary,no,-982,yes,yes,cellular,19,nov,287,3,117,2,other,no
43297,33,admin.,single,secondary,no,206,yes,no,cellular,15,mar,287,2,-1,0,,no
33071,24,blue-collar,single,secondary,no,-424,yes,no,cellular,20,apr,10,6,-1,0,,no
5561,30,student,single,tertiary,no,-679,yes,no,,23,may,372,3,-1,0,,no
18721,35,management,single,secondary,no,2383,yes,no,cellular,31,jul,67,6,-1,0,,no
21882,32,management,married,secondary,no,0,no,no,cellular,20,aug,162,4,-1,0,,no
31428,69,retired,married,,no,647,no,no,telephone,27,mar,199,1,-1,0,,no
23578,37,management,married,secondary,no,859,no,no,cellular,28,aug,246,15,-1,0,,no
14075,47,admin.,divorced,secondary,no,1139,yes,no,cellular,11,jul,106,2,-1,0,,no
28818,32,services,divorced,secondary,no,130,yes,no,cellular,30,jan,194,3,-1,0,,no
21400,36,technician,single,tertiary,no,53,no,yes,cellular,18,aug,64,7,-1,0,,no
32549,31,admin.,single,secondary,no,391,yes,no,cellular,17,apr,416,1,-1,0,,no
15464,33,technician,single,tertiary,no,1393,yes,no,cellular,18,jul,1127,3,-1,0,,yes
44993,43,admin.,single,secondary,no,386,no,no,cellular,12,oct,242,1,92,4,success,no
20330,33,technician,married,tertiary,no,2586,no,no,cellular,11,aug,117,3,-1,0,,no
14943,41,entrepreneur,married,tertiary,no,2249,yes,no,telephone,16,jul,231,5,-1,0,,no
2472,30,blue-collar,married,secondary,no,-166,yes,yes,,13,may,255,5,-1,0,,no
26846,56,technician,single,secondary,no,1437,yes,no,cellular,20,nov,367,8,-1,0,,no
37263,29,admin.,married,secondary,no,69,yes,no,cellular,13,may,77,4,-1,0,,no
33149,40,blue-collar,single,secondary,no,169,yes,no,cellular,20,apr,214,1,346,1,failure,no
31790,60,admin.,divorced,secondary,no,12039,no,no,telephone,8,apr,236,1,-1,0,,yes
41305,29,technician,single,secondary,no,382,no,no,cellular,27,aug,64,3,202,3,other,no
4030,57,retired,married,primary,no,70,yes,yes,,16,may,186,5,-1,0,,no
38374,32,services,married,secondary,no,180,yes,no,telephone,15,may,45,2,-1,0,,no
2422,50,management,married,primary,no,478,no,no,,13,may,126,5,-1,0,,no
16394,57,entrepreneur,married,tertiary,no,234,no,no,cellular,23,jul,169,2,-1,0,,no
25310,40,self-employed,married,tertiary,no,642,no,no,cellular,18,nov,147,3,-1,0,,no
24526,53,services,divorced,primary,no,200,no,no,cellular,17,nov,182,3,-1,0,,no
41335,30,management,married,tertiary,no,7,yes,no,cellular,28,aug,173,1,164,4,other,yes
31972,30,blue-collar,single,primary,no,464,yes,no,cellular,13,apr,686,1,-1,0,,no
37829,33,blue-collar,married,secondary,no,249,yes,no,cellular,14,may,7,7,287,4,failure,no
37902,31,management,single,tertiary,no,0,yes,yes,cellular,14,may,117,3,352,3,failure,no
44865,29,unemployed,single,secondary,no,1055,no,no,cellular,23,sep,427,1,603,1,failure,yes
45158,34,student,single,,no,2321,no,no,cellular,9,nov,600,2,99,5,failure,no
25726,34,management,divorced,tertiary,no,27,no,yes,cellular,19,nov,190,1,-1,0,,no
27592,40,admin.,single,secondary,no,877,yes,no,cellular,21,nov,12,3,177,6,failure,no
2922,41,blue-collar,married,primary,no,2097,yes,no,,14,may,160,1,-1,0,,no
15616,55,technician,married,tertiary,no,647,yes,no,cellular,21,jul,150,4,-1,0,,no
14470,39,blue-collar,married,secondary,no,498,yes,no,cellular,14,jul,149,4,-1,0,,no
9404,30,management,single,tertiary,no,329,yes,no,,6,jun,122,16,-1,0,,no
36352,34,admin.,single,secondary,no,395,yes,no,cellular,11,may,150,2,364,8,failure,no
14796,31,technician,single,secondary,no,35,no,yes,cellular,16,jul,229,1,-1,0,,no
43844,65,retired,divorced,primary,no,1840,no,no,cellular,1,jun,383,2,188,5,failure,no
43382,31,management,single,tertiary,no,9629,no,no,cellular,30,mar,371,1,174,4,failure,no
36592,33,entrepreneur,married,secondary,no,1034,yes,no,cellular,12,may,23,6,295,6,failure,no
9739,44,blue-collar,married,primary,no,2135,no,no,,9,jun,61,1,-1,0,,no
19549,47,admin.,married,secondary,no,1265,no,no,cellular,7,aug,137,2,-1,0,,no
33205,44,blue-collar,single,secondary,no,0,no,no,cellular,20,apr,133,1,-1,0,,yes
24723,35,services,divorced,secondary,no,204,yes,no,cellular,17,nov,295,1,186,9,other,no
40901,64,blue-collar,married,primary,no,1904,no,no,telephone,12,aug,67,2,-1,0,,no
6142,33,technician,single,secondary,no,810,yes,no,,27,may,133,1,-1,0,,no
21121,32,management,married,tertiary,no,2349,no,no,cellular,14,aug,134,5,-1,0,,no
37926,31,blue-collar,married,primary,no,42,yes,no,cellular,14,may,185,3,-1,0,,no
348,44,services,married,tertiary,no,510,yes,no,,5,may,421,4,-1,0,,no
3139,41,technician,single,tertiary,no,6029,yes,no,,14,may,254,2,-1,0,,no
14130,46,technician,single,secondary,no,834,yes,no,cellular,11,jul,196,2,-1,0,,no
769,39,blue-collar,married,primary,no,245,yes,no,,7,may,148,3,-1,0,,no
10335,49,management,married,tertiary,no,-470,yes,no,,12,jun,691,1,-1,0,,no
2414,28,blue-collar,married,secondary,no,-185,yes,yes,,13,may,170,1,-1,0,,no
26044,43,admin.,single,secondary,no,733,yes,no,cellular,19,nov,1102,3,-1,0,,yes
12078,44,admin.,married,secondary,no,10,no,no,,20,jun,52,2,-1,0,,no
27917,28,management,married,tertiary,no,264,no,no,cellular,28,jan,183,1,-1,0,,no
619,40,technician,single,,no,-5,yes,no,,6,may,78,2,-1,0,,no
7009,40,admin.,married,secondary,no,2,no,no,,28,may,187,3,-1,0,,no
38516,37,admin.,single,secondary,no,309,yes,no,cellular,15,may,58,3,-1,0,,no
31107,38,admin.,married,secondary,no,755,yes,no,cellular,17,feb,120,1,-1,0,,yes
14353,38,technician,married,secondary,no,976,yes,no,cellular,14,jul,766,3,-1,0,,yes
41284,36,services,married,secondary,no,3064,yes,no,telephone,26,aug,240,3,107,4,failure,no
42098,33,management,single,tertiary,no,2485,yes,no,cellular,2,nov,91,2,-1,0,,no
5071,32,management,single,tertiary,no,1373,yes,no,,21,may,474,2,-1,0,,no
15372,50,blue-collar,married,secondary,no,1498,yes,no,cellular,18,jul,223,1,-1,0,,no
